LASTUPDATEDATE,BUILDINGNAMEID,BUILDINGID
2023/09/03 00:00:00,"1101368412","1100005472"
2023/09/03 00:00:00,"1101367350","1100006699"
2023/09/03 00:00:00,"1101368531","1100003754"
2023/09/03 00:00:00,"1101367325","1100009022"
2023/09/03 00:00:00,"1101368370","1100006077"
2023/09/03 00:00:00,"1101366836","1100004945"
2023/09/03 00:00:00,"1101367584","1100003088"
2023/09/03 00:00:00,"1101366140","1100008733"
2023/09/03 00:00:00,"1101366828","1100012604"
2023/09/03 00:00:00,"1101367480","1100013958"
2023/09/03 00:00:00,"1101368515","1100008434"
2023/09/03 00:00:00,"1101368323","1100012376"
2023/09/03 00:00:00,"1101368084","1100006108"
2023/09/03 00:00:00,"1101367377","1100009622"
2023/09/03 00:00:00,"1101368590","1100003975"
2023/09/03 00:00:00,"1101367705","1100013992"
2023/09/03 00:00:00,"1101368390","1100003903"
2023/09/03 00:00:00,"1101367087","1100006339"
2023/09/03 00:00:00,"1101366710","1100005156"
2023/09/03 00:00:00,"1101366739","1100001236"
2023/09/03 00:00:00,"1101366805","1100003578"
2023/09/03 00:00:00,"1101368172","1100009402"
2023/09/03 00:00:00,"1101366837","1100013895"
2023/09/03 00:00:00,"1101368414","1100005838"
2023/09/03 00:00:00,"1101393027","1100002915"
2023/09/03 00:00:00,"1101368297","1100010438"
2023/09/03 00:00:00,"1101368232","1100001377"
2023/09/03 00:00:00,"1101367086","1100003484"
2023/09/03 00:00:00,"1101368659","1100014377"
2023/09/03 00:00:00,"1101366887","1100012388"
2023/09/03 00:00:00,"1101368149","1100005763"
2023/09/03 00:00:00,"1101365993","1100008579"
2023/09/03 00:00:00,"1101366863","1100012403"
2023/09/03 00:00:00,"1101368411","1100013824"
2023/09/03 00:00:00,"1101367478","1100008837"
2023/09/03 00:00:00,"1101367406","1100002839"
2023/09/03 00:00:00,"1101367021","1100003015"
2023/09/03 00:00:00,"1101367638","1100014061"
2023/09/03 00:00:00,"1101367662","1100013992"
2023/09/03 00:00:00,"1101367405","1100009919"
2023/09/03 00:00:00,"1101366733","1100010428"
2023/09/03 00:00:00,"1101366196","1100006934"
2023/09/03 00:00:00,"1101368444","1100006106"
2023/09/03 00:00:00,"1101366732","1100003676"
2023/09/03 00:00:00,"1101367403","1100014092"
2023/09/03 00:00:00,"1101366909","1100003155"
2023/09/03 00:00:00,"1101367479","1100008166"
2023/09/03 00:00:00,"1101367481","1100006699"
2023/09/03 00:00:00,"1101366908","1100003337"
2023/09/03 00:00:00,"1101366786","1100001298"
2023/09/03 00:00:00,"1101368230","1100012138"
2023/09/03 00:00:00,"1101368275","1100012168"
2023/09/03 00:00:00,"1101365974","1100001892"
2023/09/03 00:00:00,"1101368534","1100006131"
2023/09/03 00:00:00,"1101366122","1100013663"
2023/09/03 00:00:00,"1101368442","1100003903"
2023/09/03 00:00:00,"1101367025","1100011750"
2023/09/03 00:00:00,"1101366808","1101342380"
2023/09/03 00:00:00,"1101366079","1100014137"
2023/09/03 00:00:00,"1101366055","1100006831"
2023/09/03 00:00:00,"1101367324","1100013942"
2023/09/03 00:00:00,"1101368279","1100003649"
2023/09/03 00:00:00,"1101366852","1100012187"
